time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.00010644392390957283,0.00013661131923132608,9.9903205703285,0.10396444942583916,0.08215211610873574,0.0,-0.006536371501049397,0.008363258874395433,-0.32287772263989334,0.7319957479070631,0.6445629118132428,0.0,-231.1218442601257,-316.93151713644335,-209.54766796155957,311.97032751995425
0.12000000000000001,-0.0013265448741631302,0.0016444000175065978,9.961222370283146,0.2341067504204588,0.20509892075341707,0.0,-0.03873352473885906,0.046632498186975485,-0.6484296457897394,1.3934264807925634,1.2978744034872878,0.0,-230.3268520857238,-318.4464091886936,-217.08965504823243,310.19979151596056
0.18,-0.0055346194203493146,0.006459567786532445,9.912261073330058,0.38187345859119315,0.3747908026257276,0.0,-0.10785656586580405,0.11863679937281806,-0.9868632013261982,1.9562298687310866,1.9819865676497064,0.0,-224.81788007924246,-320.47712745954885,-227.9620225369157,308.9084675359441
0.23999999999999996,-0.015313487878900613,0.01655097416299966,9.842277201234271,0.5401863099432216,0.5951640144109929,0.0,-0.22601658734942517,0.22117616357680112,-1.3516989143966351,2.394751730257461,2.7036674344129055,0.0,-217.37872368043833,-323.5993124661762,-242.11465142806136,308.0404778988866
0.3,-0.03395496304756595,0.03339591194988174,9.74919087525535,0.7041238270081358,0.8705954874732571,0.0,-0.4042459640134254,0.34047116256292803,-1.759809650783776,2.687680477574256,3.468864290285918,0.0,-208.13793228454057,-328.1629789524505,-259.6587696719455,307.935844960548
0.36000000000000004,-0.06526626239894394,0.05721153028539995,9.62986301616529,0.8706635546412151,1.2054016341915572,0.0,-0.6474850306961797,0.44780950128711,-2.228820304113373,2.8148066512203025,4.28118004346423,0.0,-197.23504103561504,-334.39722611894234,-280.7443012066578,308.77612181019003
0.4200000000000001,-0.11292211379575989,0.08598367816523299,9.480250578770132,1.0389320389133339,1.6032488095824267,0.0,-0.9447469349599367,0.49820971453794993,-2.7695016128745595,2.752814160162369,5.140824766177195,0.0,-184.80641911410729,-342.41516865095684,-305.55940216296887,310.5718579202539
0.48000000000000015,-0.17920210628401556,0.11469684368884463,9.296178789387508,1.2117004605064867,2.0663520373200193,0.0,-1.2599230351558497,0.43919837620734553,-3.3736983848151167,2.469865095467973,6.04341663478525,0.0,-171.04659574763073,-352.1880869995453,-334.3256072264576,313.12894258628927
0.5400000000000001,-0.2633560687222215,0.13541682729042576,9.074771483469606,1.3994379382669626,2.594658220933173,0.0,-1.528465497308451,0.2295195694416597,-4.005793262961145,1.918240337096277,6.979125703668874,0.0,-156.23199513176556,-363.5279209089406,-367.3199948828566,315.9990462788627
0.6000000000000002,-0.3598108834837497,0.13889355148952512,8.81619162878352,1.6300871646777715,3.185340799324658,0.0,-1.6552490823585149,-0.12606712077133142,-4.6009198411394125,1.0228605208631483,7.932680977210411,0.0,-140.63950144402622,-376.06850829188335,-404.9441482539202,318.3853763739796
0.6600000000000003,-0.45700931318410976,0.11926237676364365,8.52487519216679,1.9742919094205504,3.832791704658419,0.0,-1.5471303027164005,-0.5110411195687865,-5.090747299725294,-0.3414166948786827,8.884185171936002,0.0,-124.27230138105193,-389.205667251152,-447.910421298306,318.86720846570796
0.7200000000000003,-0.5400487783000605,0.08112123454422614,8.20683305517025,2.595681454262099,4.528687787898324,0.0,-1.1932673077635494,-0.7133322202899357,-5.5161767410173415,-2.3651126271751686,9.809142020397106,0.0,-106.14383618523101,-401.85408505474715,-497.7193422290417,314.51858547523847
0.7800000000000004,-0.5965130826386734,0.03785454277565662,7.857977774462897,3.77955932508552,5.2593644503308425,0.0,-0.6943141587554288,-0.7362334956442672,-6.170209170443444,-5.246498029668057,10.668698289738073,0.0,-82.37026851906376,-411.34540805373234,-557.4487523585507,298.8487496003934
0.8400000000000004,-0.6255495809062033,-0.01472003701460541,7.465721990654123,5.981498298034058,5.997714876494209,0.0,-0.31524619531047193,-1.0647403162477092,-6.7889855437167,-9.190353402359044,11.372628056862874,0.0,-44.01621409640157,-411.72162933919657,-631.553816814354,260.2023723099604
0.9000000000000005,-0.6420217783780418,-0.07445849657698218,7.049518627416289,3.496835552654323,0.42187975016622126,0.0,-0.28993976932237087,-0.8179154592734965,-7.292588882814626,-14.345404367835496,11.700096048744857,0.0,23.346741951197817,-391.31708140571277,-726.5710432652639,177.92965266336702
0.9600000000000005,-0.6596910475286756,-0.12306007878408318,6.595240019239705,3.3502771560387643,1.3454691300643873,0.0,-0.3149432553520564,-0.8037426930351318,-7.852460943445516,-12.350268842372476,10.485809202412593,0.0,66.98276212601937,-199.4470361148194,-208.54991797797652,-87.72861892604453
1.0200000000000005,-0.6819247170096412,-0.17111847149871687,6.10858554169406,2.7382544639179542,2.151795618407416,0.0,-0.41565425437625325,-0.8037873929156708,-8.35706249821043,-11.53585830231842,9.392446954791762,0.0,-80.1533680543296,-162.0568552848271,-299.6441426530223,85.70390675427849
1.0800000000000005,-0.7086674204359528,-0.2200507964439636,5.592766221067886,2.0794565766513067,2.7730665231443776,0.0,-0.4710172927758082,-0.8286568519822064,-8.835795879049671,-11.149446220181318,8.73887321599278,0.0,-70.87622735721499,-198.2813258518912,-339.1485603572432,128.199139271377
1.1400000000000006,-0.7382128073608777,-0.2734426280144142,5.049498519539563,1.4196050975709626,3.3097183694594907,0.0,-0.501549962117973,-0.9719988676055143,-9.279306568268751,-10.971737506033,8.397417477310952,0.0,-72.44236753378301,-229.82115681928354,-365.26681571251356,162.914885568716
